UCI,UCI_version
68d3f7f4-3041-4180-9002-d6e2e0b5ba60,2
bb52cf98-b1bc-41d5-97f1-cc0ed8b36d37,1
d93e41e3-e6ed-4826-b29d-da90f90fb79d,1
9ce5502c-4174-464a-b30c-4f8eb3fdb157,1
b4dee56e-5fb8-4ed3-9b53-d4c651ffde60,1
a2d9cad3-5bb7-40ae-97f0-f296dfa24a90,1
b4619850-8fe8-4999-bc80-ae163b325c06,2
beaa5743-95e6-404a-97cc-4c2365dd8d97,1
1a421902-c9c1-4a92-b707-67b45fae5657,1
2d58b9bb-5bce-4636-af9d-af3b159d483d,1
fb5097e9-2d60-4009-8288-95b3f94ac029,1
3bb84ecb-ecbf-491b-9f47-d8e1b260922b,1
7c06c448-98a1-4c1b-86d3-9856bd6afb62,1
56bca9c1-d1fb-452a-8c92-045447c36cbd,2
9287e57a-a987-44ce-98e0-6e997a43df37,4
f7cc4903-0b91-478e-a103-a679cbc56de4,1
864e9d12-89c5-499c-9836-a14fec5f97a0,3
c2246f1a-d929-4db8-9521-31f7e6ce9b4a,2
d43f0256-cc33-4d3c-b55d-c298fc21ca08,2
c04b873e-f98a-45a3-9107-a7855425c4fd,1
cd816cee-a726-4328-8e4d-90d8d6a02981,1
6f68e606-d0c2-47e2-9af0-28601ea79382,1
4aa9d150-4a76-4a66-8ad7-4583d212ef51,1
43b6584c-56dd-461e-8b87-67d78793f7e1,1
98319f78-6614-48e8-ab8e-09c8765e7332,1
d0346c44-42d4-408d-8f44-3d72133146f5,1
cc644f4d-892a-4df4-9dac-fb7954dc32a9,2
30853a35-e9c9-4fed-b78c-d293a1906001,1
a26ea3d4-5827-4664-988d-396da84f0ecf,4
ba264b70-760c-4d54-908c-f856be08f4ea,1
02ea9e09-7ec3-4c2b-9b78-e25491e74ab4,1
884c9dbb-4246-4050-baec-3dab5146ceed,1
a0c14096-6f3f-44e2-a89e-5e4bdbf62229,1
cad4b316-ea10-4686-8bcf-77c9e4f4e6dd,1
b7dab0f8-807f-47cf-abb2-1b89d2f9e977,1
96b75456-5cb5-4d81-961f-800840efe795,1
5675ec6b-7e51-4919-b845-3007888aba7d,1
a4c1488d-e9b5-4a38-86eb-050b3604d997,3
d1d31a63-8fbc-49b8-9882-4a56c2dea509,1
cc261053-6190-4729-bb0d-1d196465c450,2
201fa976-5a69-4a09-8417-7e19232b6b22,1
923c7304-3ad1-488e-b164-a023883d1b6d,1
89860a8d-0dff-462b-872e-b7e36d08f278,1
fcd0ad27-2abc-49d9-9596-6c31f8988feb,3
00e8c371-8003-4ee9-8a72-61266413bb69,1
b0a8b0bc-26ab-4e21-bea7-7a185e54b9df,2
9c37b9af-1bcf-4447-b4e3-8bc8fb177f38,1
6229c51b-41cf-4a21-8219-f387f5632316,3
6f73686b-36bd-49ae-8760-6d55d2c1d298,4
a2a71831-e6fc-47a2-8235-764f42177556,1
c9bc3e4d-02d6-4a04-9238-68b1b11fe763,1
41c2ad92-d00f-41dc-80c8-9e489fabe5f1,1
eb5cd353-e041-4399-8dd3-c417de5a6ded,1
12e33439-6603-47d8-8207-930608d8bb75,1
c2453020-fb89-4296-830b-0ad89505f0a0,1
dfdfeaeb-cae1-4470-b646-3cb42d83b974,1
6b74be29-f230-4641-8b26-696c0bc40527,1
2e44d327-f897-45cf-8a26-1874800f4615,1
69115ef5-2966-4e7d-a55e-29dbb5e1c7b8,1
513a7d2d-e042-49a5-9e0b-1da9a8c5f4e6,4
