OfferID,ZoneID,TPNB
A30713874,9,056930000
A30713874,7,056930000-001
A30713874,6,056930000-001
A30713874,5,056930000-001
R30739865,13,073780030
R30739865,12,073780030
R30739925,12,073780104
R30739925,13,073780104
R30739945,12,073780174
R30739945,13,073780174
A30828986,6,073022197
A30828986,5,073022197
A30828986,7,073022197
A30828986,9,073022197
A30828625,5,060508484-001
A30828625,6,060508484
A30828625,5,060508484
A30828625,6,060508484-001
A30828625,7,060508484-001
A30828625,7,060508484
A30828625,9,060508484
A30828625,9,060508484-001
A30752048,9,053525393
A30752048,7,053525393
A30752048,6,053525393
A30752048,5,053525393
A30752049,9,053525404
A30752049,7,053525404
A30752049,6,053525404
A30752049,5,053525404
A30752050,9,053525554
A30752050,7,053525554
A30752050,6,053525554
A30752050,5,053525554
A30752051,9,070690947
A30752051,7,070690947
A30752051,6,070690947
A30752051,5,070690947
R30739885,13,073780076
R30739885,12,073780076
R30739905,12,071822739
R30739905,13,071822739
A30763725,5,067934935
A30763725,15,067934935
A30763725,9,067934935
A30763725,8,067934935
A30763725,7,067934935
A30763725,6,067934935
A30763726,5,058000113
A30763726,9,058000113
A30763726,8,058000113
A30763726,7,058000113
A30763726,6,058000113
A30763726,15,058000113
R30739965,13,073780295
R30739965,12,073780295
A30763368,15,050224448
A30763368,9,050224448
A30763369,9,055417973
A30763369,15,055417973
A30763370,9,055418125
A30763370,15,055418125
A30763371,9,055418131
A30763371,15,055418131
A30763372,9,055418200
A30763372,15,055418200
A30763373,9,059826027
A30763373,15,059826027
A30763374,9,060607401
A30763374,15,060607401
A30763375,9,066926993
A30763375,15,066926993
A30763376,9,066927289
A30763376,15,066927289
A30763377,9,053522091
A30763377,9,053522091-001
A30763377,15,053522091-001
A30763377,15,053522091
A30764565,6,071480797
A30764565,5,071480797
A30764565,9,071480797
A30764565,7,071480797
A30764566,9,071480820
A30764566,7,071480820
A30764566,6,071480820
A30764566,5,071480820
A30764567,9,073268430
A30764567,7,073268430
A30764567,6,073268430
A30764567,5,073268430
A30763727,5,058000142
A30763727,9,058000142
A30763727,8,058000142
A30763727,7,058000142
A30763727,6,058000142
A30763727,15,058000142
A30763728,5,071813214
A30763728,9,071813214
A30763728,8,071813214
A30763728,7,071813214
A30763728,6,071813214
A30763728,15,071813214
A30763729,5,071816678
A30763729,9,071816678
A30763729,8,071816678
A30763729,7,071816678
A30763729,6,071816678
A30763729,15,071816678
A30766105,9,067684090
A30766105,9,058556181
A30766105,15,067684090
A30766105,15,055473974
A30766105,15,058556181
A30766105,9,055473974
A30756017,8,064431947
A30756017,15,064431947
A30756017,8,065905946
A30756017,15,065905946
A30756017,5,065905946
A30756017,6,064431947
A30756017,7,064431947
A30756017,7,065905946
A30756017,9,065905946
A30756017,9,064431947
A30756017,5,064431947
A30756017,6,065905946
A30763765,15,058876936
A30763765,9,058876936
A30763766,15,058877031
A30763766,9,058877031
R30784926,12,050334577
R30784926,13,050334577
A30770005,15,064918931
A30770005,9,064918931
A30770006,15,064919020
A30770006,9,064919020
A30770007,15,071630574
A30770007,9,071630574
A30770008,15,064918729
A30770008,9,064918729
R30771115,12,055239204
R30771115,13,055239204
A30783647,8,059547455
A30783647,7,059547455
A30783647,6,059547455
A30783647,5,059547455
A30745265,15,071291594
A30745265,8,071291594
A30745266,15,073490943
A30745266,8,073490943
A30764845,15,067962135
A30764845,9,067962135
A30764846,15,067962158
A30764846,9,067962158
A30764847,15,067962170
A30764847,9,067962170
A30764848,9,067962193
A30764848,15,067962193
A30764849,9,074276021
A30764849,15,074276021
A30764850,9,074289294
A30764850,15,074289294
A30745045,7,071291594
A30745045,9,071291594
A30745045,6,071291594
A30745045,5,071291594
A30745046,7,073490943
A30745046,6,073490943
A30745046,5,073490943
A30745046,9,073490943
A30830325,9,070179511
A30830325,5,070179511
A30830325,6,070179511
A30830325,7,070179511
A30747905,15,063741207
A30747905,9,063741207
A30747906,15,063741265
A30747906,9,063741265
A30747907,15,065511039
A30747907,9,065511039
A30747908,15,065511051
A30747908,9,065511051
A30747909,15,070969227
A30747909,9,070969227
A30746908,9,057480933-001
A30746908,9,057480910-001
A30746908,15,057480910
A30746908,15,057480933-002
A30746908,9,057480933
A30746908,15,057480933-001
A30746908,15,057480910-002
A30746908,15,057480933
A30746908,15,057480910-001
A30746908,9,057480910-002
A30746908,9,057480933-002
A30746908,9,057480910
A30763126,9,064443484
A30763126,15,064443484
A30763127,9,064443490
A30763127,15,064443490
A30763128,9,064443501
A30763128,15,064443501
A30763129,15,064443518
A30763129,9,064443518
A30763130,15,064443524
A30763130,9,064443524
A30763131,15,066706862
A30763131,9,066706862
A30763132,15,071026265
A30763132,9,071026265
A30793810,6,064729285
A30793810,6,058663917
A30793810,7,050759881
A30793810,6,070988757
A30793810,7,050334681
A30793810,9,071274270
A30793810,5,050334681
A30793810,7,070988757
A30793810,9,050759881
A30793810,7,066148813
A30793810,5,070989036
A30793810,6,059295280
A30793810,6,050759881
A30793810,5,071274270
A30793810,9,070989036
A30793810,6,050334681
A30793810,7,071274270
A30793810,5,066148813
A30793810,6,070989036
A30793810,5,058663917
A30793810,6,071274270
A30793810,9,066148813
A30793810,7,058663917
A30793810,5,059295280
A30793810,7,070989036
A30793810,5,050759881
A30793810,7,059295280
A30793810,5,064729285
A30793810,9,070988757
A30793810,9,064729285
A30793810,5,070988757
A30793810,9,050334681
A30793810,7,064729285
A30793810,9,059295280
A30793810,6,066148813
A30793810,9,058663917
A30793818,6,060336940
A30793818,6,067990245
A30793818,5,060336940
A30793818,6,067990166
A30793818,9,060336940
A30793818,7,060336940
A30793818,9,067990166
A30793818,7,067990245
A30793818,5,067990245
A30793818,9,067990245
A30793818,5,067990166
A30793818,7,067990166
A30799127,5,056176368
A30799127,7,056176368
A30799127,6,056176368
A30799127,9,056176368
A30799128,8,056390275
A30799128,15,056390275
A30799128,7,056390275
A30799128,6,056390275
A30799128,5,056390275
A30799128,9,056390275
A30803746,8,054313377
A30803747,8,071056384
A30803748,8,053043876
A30803749,8,058405239
A30803750,8,074153011
A30803751,8,050253534
A30803751,15,050253534
A30803752,8,070930273
A30803752,15,070930273
A30803753,8,059321083
A30803754,8,065991218
A30803755,8,066555930
A30803755,15,066555930
A30803756,8,066557421
A30803757,8,071355566
A30803757,15,071355566
A30803758,8,059321054
A30803759,8,070930209
A30803759,15,070930209
A30803760,8,074153339
A30803760,15,074153339
A30803761,8,066570560
A30803761,15,066570560
A30803762,8,061238611
A30803762,15,061238611
A30803763,8,065991345
A30803763,15,065991345
A30803764,8,071355641
A30803764,15,071355641
A30803765,8,062399206
A30803765,15,062399206
A30803766,8,054930308
A30803766,15,054930308
A30803767,8,061272293
A30803767,15,061272293
A30804349,6,074707745
A30804349,5,074707745
A30804349,5,074707578
A30804349,7,074707238
A30804349,6,074707238
A30804349,6,074707578
A30804349,9,074707578
A30804349,7,074707578
A30804349,9,074707745
A30804349,7,074707745
A30804349,5,074707238
A30804349,9,074707238
R30796245,13,074098963
R30796245,12,074098963
A30858185,9,064734192
A30858185,5,064734192
A30858185,7,064734192
A30858185,6,064734192
A30858205,5,070524875
A30858205,9,070524875
A30858205,7,070524875
A30858205,6,070524875
A30859073,6,062313411
A30859073,5,062313411
A30859073,7,062313411
A30859073,9,062313411
A30859074,5,062315946
A30859074,7,062315946
A30859074,6,062315946
A30859074,9,062315946
A30859075,8,062462280
A30859075,15,062462280
A30859075,5,062462280
A30859075,7,062462280
A30859075,6,062462280
A30859075,9,062462280
A30859076,5,062462533
